locality_name,uuid,city_name
Koulampet,2eaf1cb288995559afa2,Hyderabad
Malkapur,0179478094675dfd3c9d,Hyderabad
Kolathur,2e2dce19525a78c08da3,Chennai
Zuzuwadi,3399bb946e9ae7f2387f,Bengaluru
Balanagar,82591b76b3011e34e520,Hyderabad
Poonamallee,a77df05055bdefe15519,Chennai
Qutub Shahi Tombs,aadee82b40f79b7bfb65,Hyderabad
Mambakkam,05d5166830a0e6927590,Chennai
Vajulsar,8c174c39f23b0933d1b1,Mumbai
Madh,17033bac2cf103d0bd54,Mumbai
Uttar Panchanna Gram,ed96d057afa737d5cd35,Kolkata
Sector 90,90ac38ce1e3b6112bd4c,Gurgaon
Meenakshi Layout,cb9457faf85c306939c9,Bengaluru
Sikandarpur Village,38bf30322f558397a436,Noida
Vihighar,28979e0b9cf9423a0304,Mumbai
Naseeb Nagar,bd49085d797dcc7690e6,Hyderabad
Kannivaakam Village,303a332a59d93134e707,Chennai
Somanahalli,6fb0079896b9ba6e9e01,Bengaluru
Rees,860c013404989a6b1b3f,Mumbai
Navalur-Sriperumbudur,15b00711496d4caa9e2e,Chennai
Camp,c5c242db1614bcd57f6f,Pune
Yojana Nagar,28ca5491a80114f52f81,Pune
Bhayandar East,e2fc84832b64f1d6796f,Mumbai
Ghatkesar,98c38f98b8c51d21eae4,Hyderabad
Rasta Peth,6ce6ce7a7059c8dc48c7,Pune
Beliaghata,d375d924730d607dc6ff,Kolkata
Shilphata,97b8a015ad9b352ed27c,Mumbai
Gagillapur,255abea3272b4d4cb700,Hyderabad
Naranpura,a16bda959920b715dfa8,Ahmedabad
Uran,d5a43d76d1dbc148846e,Mumbai
Ghose Bagan,d1099311224ea590f4a3,Kolkata
Tilak Nagar,d1a9e7c842fae1483228,Mumbai
Saha Para,f4e974649435bb068bd1,Kolkata
IMT Manesar,2a52e859cd4a6bbe9188,Gurgaon
Talwade,7d218a24ec9310b3bfc5,Pune
Madurdaha,430f5d5cc30fce533e9e,Kolkata
Budhera,915d8c5e8080cd0f1daa,Hyderabad
Doddanallurahally,0095b2a3f26839c5e16d,Bengaluru
Khajoori Khas,ca0daf6a474779a8ade8,Delhi
Muttukadu,8924ec3c4de9dabf53b2,Chennai
Yusuf Sarai,c96250f9b3e7fdbc5716,Delhi
